Run started at Thu Apr 17 04:56:17 AM UTC 2025
Running ogbn-arxiv | lr=0.01 | k=1
Using device: cuda:0
dataset ogbn-arxiv | num nodes 169343 | num edge 1166243 | num node feats 128 | num classes 40
dataset ogbn-arxiv | train nodes 90941 | valid nodes 29799 | test nodes 48603
Results will be saved to ./logs/ogbn-arxiv/RK4_19.
Starting run 1/1...
run: 01, step: 51.40, train acc: 88.39, val acc: 62.18, test acc: 61.41
run: 01, step: 51.80, train acc: 88.38, val acc: 62.18, test acc: 61.41
run: 01, step: 52.20, train acc: 88.38, val acc: 62.17, test acc: 61.41
run: 01, step: 52.40, train acc: 88.37, val acc: 62.17, test acc: 61.41
run: 01, step: 52.80, train acc: 88.37, val acc: 62.16, test acc: 61.41
run: 01, step: 53.00, train acc: 88.37, val acc: 62.16, test acc: 61.42
run: 01, step: 53.20, train acc: 88.37, val acc: 62.14, test acc: 61.40
run: 01, step: 53.60, train acc: 88.37, val acc: 62.13, test acc: 61.39
run: 01, step: 54.00, train acc: 88.37, val acc: 62.12, test acc: 61.39
run: 01, step: 54.40, train acc: 88.37, val acc: 62.13, test acc: 61.39
run: 01, step: 54.60, train acc: 88.36, val acc: 62.13, test acc: 61.39
run: 01, step: 54.80, train acc: 88.36, val acc: 62.12, test acc: 61.39
run: 01, step: 55.00, train acc: 88.36, val acc: 62.12, test acc: 61.38
run: 01, step: 55.40, train acc: 88.35, val acc: 62.10, test acc: 61.38
run: 01, step: 55.60, train acc: 88.35, val acc: 62.10, test acc: 61.37
run: 01, step: 55.80, train acc: 88.35, val acc: 62.09, test acc: 61.37
run: 01, step: 56.20, train acc: 88.34, val acc: 62.08, test acc: 61.36
run: 01, step: 56.40, train acc: 88.34, val acc: 62.09, test acc: 61.36
run: 01, step: 56.80, train acc: 88.34, val acc: 62.08, test acc: 61.36
run: 01, step: 57.00, train acc: 88.34, val acc: 62.08, test acc: 61.35
run: 01, step: 57.20, train acc: 88.34, val acc: 62.08, test acc: 61.36
run: 01, step: 57.40, train acc: 88.34, val acc: 62.07, test acc: 61.35
run: 01, step: 57.80, train acc: 88.34, val acc: 62.07, test acc: 61.34
run: 01, step: 58.00, train acc: 88.34, val acc: 62.06, test acc: 61.34
run: 01, step: 58.60, train acc: 88.34, val acc: 62.05, test acc: 61.33
run: 01, step: 58.80, train acc: 88.33, val acc: 62.04, test acc: 61.33
run: 01, step: 59.20, train acc: 88.33, val acc: 62.03, test acc: 61.33
run: 01, step: 59.40, train acc: 88.33, val acc: 62.04, test acc: 61.33
run: 01, step: 59.80, train acc: 88.32, val acc: 62.05, test acc: 61.32
run: 01, step: 60.20, train acc: 88.32, val acc: 62.04, test acc: 61.32
run: 01, step: 60.40, train acc: 88.31, val acc: 62.04, test acc: 61.31
run: 01, step: 60.60, train acc: 88.32, val acc: 62.03, test acc: 61.30
run: 01, step: 60.80, train acc: 88.31, val acc: 62.03, test acc: 61.30
run: 01, step: 61.00, train acc: 88.31, val acc: 62.04, test acc: 61.30
run: 01, step: 61.60, train acc: 88.31, val acc: 62.04, test acc: 61.29
run: 01, step: 61.80, train acc: 88.31, val acc: 62.03, test acc: 61.29
run: 01, step: 62.00, train acc: 88.30, val acc: 62.03, test acc: 61.29
run: 01, step: 62.20, train acc: 88.30, val acc: 62.03, test acc: 61.28
run: 01, step: 62.60, train acc: 88.30, val acc: 62.02, test acc: 61.27
run: 01, step: 62.80, train acc: 88.30, val acc: 62.02, test acc: 61.28
run: 01, step: 63.00, train acc: 88.29, val acc: 62.02, test acc: 61.27
run: 01, step: 63.20, train acc: 88.29, val acc: 62.02, test acc: 61.26
run: 01, step: 63.40, train acc: 88.29, val acc: 62.01, test acc: 61.26
run: 01, step: 63.60, train acc: 88.29, val acc: 62.01, test acc: 61.25
run: 01, step: 63.80, train acc: 88.28, val acc: 62.00, test acc: 61.25
run: 01, step: 64.20, train acc: 88.28, val acc: 61.99, test acc: 61.25
run: 01, step: 64.60, train acc: 88.28, val acc: 61.98, test acc: 61.25
run: 01, step: 65.20, train acc: 88.28, val acc: 61.99, test acc: 61.25
run: 01, step: 65.40, train acc: 88.27, val acc: 61.98, test acc: 61.25
run: 01, step: 66.20, train acc: 88.27, val acc: 61.97, test acc: 61.25
run: 01, step: 66.40, train acc: 88.26, val acc: 61.93, test acc: 61.22
